01	61,93,119,133,176,195,198,203,237,260,262,276,296,329,338,345,359,364,387,399,402,403,422,429,434,440,453,457,461,491,502,514,515,516,518,535,545,578,601,615,620,621,623,642,661,672,682,710,733,735,741,766,785,807,810,814,817,819,823,836,839,844,851,853,859,860,880,882,887,888,903,906,910,913,957,972,973,979,980,988,993,996,1012,1039,1052,1058,1068,1069,1088,1106,1153,1159,1167,1193,1271,1292,1298,1320,1334,1373,1381,1402,1473,1477,1478,1499,1500,1507,1509,1522,1554,1555,1561,1568,1570,1574,1583,1613,1623,1628,1654,1674,1675,1679,1730,1748,1782,1785,1834,1854,1861,1863,1870,1902,1923,1949,1954,1971,1993,2019,2039,2088,2166,2168,2183,2189,2209,2231,2268,2309,2316,2339,2379,2417,2431,2462,2473,2482,2491,2504,2517,2525,2546,2592,2644,2648,2650,2653,2659,2663,2746,2751,2833,2837,2880,2968,3000,3003,3007,3021,3031,3032,3055,3093,3105,3150,3156,3184,3191,3204,3227,3260,3265,3266,3311,3395,3420,3505,3514,3532,3571,3601,3638,3649,3667,3683,3688,3704,3713,3743,3882,3910,3919,3978,3980,4000,4036,4041,4042,4068,4069,4087,4103,4128,4226,4252,4279,4305,4307,4340,4386,4410,4448,4461,4498,4499,4501,4505,4512,4549,4580,4644,4689,4728,4753,4754,4757,4794,4812,4880,4968,5126,5135,5183,5201,5207,5213,5219,5233,5272,5273,5275,5300,5328,5363,5404,5505,5535,5540,5583,5601,5614,5634,5639,5717,5752,5793,5824,5833,5867,5895,6015,6092,6151,6190,6253,6261,6289,6334,6379,6468,6512,6534,6559,6622,6625,6808,6966,6979,6988,6995,7040,7098,7207,7542,7615,7705,7714,7846,7875,8079,8158,8188,8250,8252,8294,8310,8651,8768,8779,8795,8886,8909,9194,9282,9337,9481,9498,9718,9887,10008,10023,10176,10307,10365,10495,10570,10580,10661,10856,11009,11042,11110,11539,12009,12030,12137,12346,12374,12391,12456,12654,12831,12863,12987,13280,13333,13692,13717,13730,13746,13823,13960,13963,14853,14883,15296,16299,16532,17061,17580,17677,17896,17899,17920,18037,18120,18126,18215,18222,18355,18760,18821,18861,23291
02	0,2,7,14,24,26,32,33,53,55,64,65,78,95,99,106,187,248,591,1208,4250,5954
03	4,5,9,15,19,34,60,84,85,117,118,170,174,181,264,266,277,278,304,352,356,412,413,421,451,480,522,523,551,589,596,674,722,861,932,1018,1023,1044,1074,1235,1289,1296,1460,1898,2784,3038,3046,3278,3570,4039,11897
04	263,530,603,833,969,1189,1305,1364,1576,1577,1612,1710,1716,1955,2020,2032,2069,2103,2236,2241,2421,2453,2604,2681,2744,2749,2764,2822,2847,2970,3044,3090,3242,3290,3323,3367,3368,3432,3474,3568,3592,3767,3791,3793,3975,4020,4106,4293,4403,4432,4433,4455,4459,4460,4572,4936,5047,5151,5198,5303,5338,5376,5509,5584,5591,5653,5724,5751,5807,5837,5879,5925,5927,5995,6028,6196,6213,6229,6284,6285,6333,6349,6571,6600,6614,6628,6754,6790,6809,6885,6894,7009,7096,7122,7133,7180,7221,7251,7280,7297,7325,7335,7357,7436,7451,7495,7512,7535,7599,7616,7639,7643,7646,7710,7717,7722,7734,7838,7938,7941,7963,8002,8032,8081,8088,8135,8433,8439,8442,8472,8515,8592,8766,8844,8849,8883,8916,8942,9114,9117,9148,9157,9182,9228,9275,9346,9379,9453,9455,9505,9702,9713,9731,9744,9750,9756,9760,9776,9783,9854,9950,9959,9987,9992,10080,10122,10152,10174,10183,10217,10224,10239,10252,10343,10348,10386,10436,10467,10484,10565,10611,10695,10710,10744,10774,10805,10871,10879,10882,10939,10940,10960,10977,10988,11144,11181,11231,11244,11262,11297,11356,11370,11377,11541,11544,11551,11576,11586,11657,11670,11677,11692,11713,11716,11733,11775,11850,11862,11868,11966,11991,12075,12081,12129,12150,12160,12195,12200,12217,12222,12224,12238,12283,12299,12306,12398,12407,12477,12506,12507,12521,12543,12655,12691,12771,12813,12835,12859,12893,12962,12994,13000,13016,13032,13063,13118,13161,13178,13268,13303,13313,13386,13454,13469,13529,13592,13606,13677,13691,13694,13736,13752,13768,13786,13807,13813,13819,13828,13843,13904,13914,13971,13984,14007,14017,14054,14168,14294,14309,14326,14330,14341,14400,14411,14425,14464,14496,14548,14550,14655,14669,14764,14798,14859,14910,14921,14950,14997,15074,15102,15123,15188,15193,15210,15215,15244,15248,15256,15290,15297,15353,15372,15392,15587,15599,15646,15703,15843,15871,15952,15967,15968,16030,16049,16132,16157,16209,16252,16269,16303,16312,16320,16333,16405,16428,16436,16438,16456,16459,16460,16566,16702,16796,16845,16867,16934,17014,17023,17057,17098,17220,17241,17256,17293,17349,17366,17417,17466,17525,17573,17585,17683,17693,17761,17766,17767,17824,17870,17886,17889,17898,18086,18099,18125,18166,18204,18275,18296,18303,18490,18603,18634,18763,18815,18854,18966,19019,19025,19033,19047,19055,19070,19154,19296,19303,19358,19456,29226
05	1,20,42,45,47,62,87,130,138,144,151,168,173,194,238,251,256,305,306,347,390,435,612,616,651,726,811,1314,1431,1586,1604,2388,2540,3584,5799,6159,7131,7540,16076
06	17,30,39,40,75,83,94,128,132,134,153,156,171,189,192,214,217,219,228,234,236,242,258,268,282,325,362,371,373,416,443,445,526,531,566,574,630,641,714,746,758,762,830,907,926,947,1002,1010,1042,1124,1192,1217,1223,1340,1465,1511,1620,1622,1641,1661,1769,1792,1850,1852,1981,2021,2570,2624,3659,3758,3768,5452,5490,5844,6310,6641,6709,6836,7005,7611,7688,7889,8303,8677,10259,10528,10593
07	3,8,22,49,74,80,100,105,112,115,120,125,136,142,158,165,200,209,224,232,240,281,285,302,312,337,425,610,748,781,803,818,847,863,865,914,1051,1130,1161,1394,1615,1961,2242,3315,3558,3751,4671,5095,5483,5553,5676,6577
08	13,23,29,43,51,57,67,86,101,103,113,121,141,167,175,179,226,229,233,239,247,273,301,309,313,354,358,406,433,466,498,534,560,653,665,690,716,870,920,953,971,1092,1203,1254,1427,1906,1916,1970,2246,3828,4012,8492
09	379,1225,1973,3174,3261,5381,8923,13064,13147,15520,16591,18721
10	427,482,1766,2102,2225,2741,3512,3755,4506,4696,5166,5397,5466,5878,6404,6597,7025,7033,7965,8379,8741,8812,9461,9852,10083,10500,10520,10674,11077,11270,11395,11465,12649,12881,13345,13863,13889,15647,16201,16238,16315,16483
