id	nhit	hits
scaffold_1	3	RF0142(3)
scaffold_2	1	RF0142
scaffold_5	2	RF0142(2)
scaffold_6	5	RF0142(2),RF0155,RF0148,RF0165
scaffold_7	2	RF0007,RF0017
scaffold_8	1	RF0065
scaffold_9	4	RF0142(2),RF0148(2)
scaffold_11	1	RF0142
scaffold_12	1	RF0148
scaffold_14	1	RF0142
scaffold_15	1	RF0007
scaffold_16	3	RF0142(2),RF0024
scaffold_17	2	RF0154,RF0155
scaffold_18	2	RF0142,RF0148
scaffold_19	1	RF0007
scaffold_20	1	RF0142
scaffold_22	3	RF0142(2),RF0024
scaffold_24	1	RF0142
scaffold_25	2	RF0024,RF0144
scaffold_27	1	RF0065
scaffold_28	2	RF0024,RF0144
scaffold_29	2	RF0142,RF0038
scaffold_30	1	RF0142
scaffold_31	1	RF0007
scaffold_32	1	RF0065
scaffold_33	1	RF0142
scaffold_35	2	RF0142,RF0144
scaffold_37	2	RF0007(2)
scaffold_40	2	RF0142,RF0133
scaffold_41	1	RF0007
scaffold_42	2	RF0142,RF0017
scaffold_43	4	RF0007,RF0142,RF0133,RF0065
scaffold_45	4	RF0148(2),RF0063,RF0139
scaffold_46	3	RF0148(2),RF0142
scaffold_47	2	RF0165,RF0139
scaffold_48	1	RF0024
scaffold_50	1	RF0024
scaffold_57	2	RF0148(2)
scaffold_59	1	RF0024
scaffold_61	2	RF0142(2)
scaffold_64	2	RF0142,RF0139
scaffold_65	1	RF0142
scaffold_67	3	RF0007(2),RF0148
scaffold_68	2	RF0148(2)
scaffold_69	1	RF0148
scaffold_70	1	RF0148
scaffold_71	2	RF0142,RF0165
scaffold_72	4	RF0142(2),RF0024,RF0139
scaffold_73	2	RF0007,RF0024
scaffold_75	1	RF0142
scaffold_80	2	RF0142,RF0148
scaffold_81	1	RF0142
scaffold_86	1	RF0148
scaffold_87	2	RF0142(2)
scaffold_88	1	RF0142
scaffold_89	2	RF0007,RF0142
scaffold_90	2	RF0142,RF0024
scaffold_91	2	RF0148,RF0024
scaffold_92	1	RF0142
scaffold_97	2	RF0148(2)
scaffold_100	1	RF0142
scaffold_108	2	RF0148(2)
scaffold_110	1	RF0142
scaffold_114	1	RF0142
scaffold_116	1	RF0139
scaffold_117	1	RF0139
scaffold_119	2	RF0142(2)
scaffold_123	1	RF0148
scaffold_124	1	RF0017
scaffold_125	1	RF0154
scaffold_126	1	RF0017
scaffold_127	1	RF0142
scaffold_129	1	RF0007
scaffold_130	1	RF0165
scaffold_131	2	RF0142(2)
scaffold_133	1	RF0142
scaffold_134	1	RF0142
scaffold_137	2	RF0007,RF0142
