id	nhit	hits
scaffold_0	2	VFG000079,VFG013265
scaffold_1	1	VFG000077
scaffold_5	1	VFG002182
scaffold_10	1	VFG000077
scaffold_13	1	VFG009570
scaffold_14	3	VFG001347,VFG013286,VFG013368
scaffold_22	3	VFG000079,VFG001855,VFG001386
scaffold_23	3	VFG001347,VFG000963,VFG002182
scaffold_24	2	VFG000274,VFG000270
scaffold_26	1	VFG000077
scaffold_29	1	VFG002162
scaffold_30	2	VFG001826,VFG041304
scaffold_31	1	VFG013286
scaffold_33	1	VFG002182
scaffold_34	1	VFG000079
scaffold_37	1	VFG013286
scaffold_39	1	VFG045340
scaffold_45	1	VFG006717
scaffold_47	1	VFG000079
scaffold_49	2	VFG042870,VFG000182
scaffold_56	1	VFG013368
scaffold_60	1	VFG001855
scaffold_62	2	VFG001967,VFG013368
scaffold_64	1	VFG045340
scaffold_67	4	VFG000077,VFG000079,VFG001855,VFG001386
scaffold_72	1	VFG000077
scaffold_75	1	VFG002162
scaffold_78	1	VFG002162
scaffold_80	1	VFG002162
scaffold_86	2	VFG001967,VFG000079
scaffold_87	1	VFG002162
scaffold_92	1	VFG001855
scaffold_94	1	VFG000077
scaffold_100	2	VFG001967,VFG000963
scaffold_103	1	VFG000232
scaffold_114	2	VFG006717,VFG000077
scaffold_115	2	VFG002189,VFG002190
scaffold_117	1	VFG001359
scaffold_118	1	VFG013286
scaffold_128	1	VFG000963
scaffold_131	1	VFG001855
scaffold_137	1	VFG000079
scaffold_139	1	VFG000079
scaffold_141	1	VFG005293
scaffold_144	1	VFG001855
scaffold_147	1	VFG000077
scaffold_151	1	VFG000080
scaffold_158	3	VFG001967,VFG002225,VFG002364
scaffold_166	1	VFG006717
scaffold_168	1	VFG013286
scaffold_170	1	VFG001855
scaffold_171	1	VFG013368
scaffold_184	1	VFG001855
scaffold_185	2	VFG001967,VFG000963
scaffold_193	3	VFG002365,VFG002364,VFG001369
scaffold_197	1	VFG000963
scaffold_200	1	VFG000079
scaffold_207	1	VFG000077
scaffold_214	2	VFG001967,VFG013368
scaffold_216	1	VFG013465
scaffold_218	1	VFG001967
scaffold_220	6	VFG001368,VFG001367,VFG001967,VFG001351,VFG001352,VFG000963
scaffold_221	1	VFG017856
scaffold_224	2	VFG001347,VFG000963
scaffold_231	1	VFG037100
scaffold_250	2	VFG002162,VFG000077
scaffold_258	1	VFG000964
scaffold_261	2	VFG002376,VFG002377
scaffold_266	1	VFG000964
scaffold_267	1	VFG013286
scaffold_276	1	VFG001329
scaffold_282	1	VFG001855
scaffold_292	1	VFG000080
scaffold_293	2	VFG001300,VFG001369
scaffold_294	2	VFG013286,VFG000964
scaffold_304	1	VFG000077
scaffold_311	1	VFG001967
scaffold_315	1	VFG001855
scaffold_322	1	VFG013286
scaffold_326	1	VFG000079
scaffold_330	1	VFG001855
scaffold_333	2	VFG013286(2)
scaffold_361	4	VFG000963,VFG001301,VFG001376,VFG001375
scaffold_362	1	VFG001361
scaffold_365	2	VFG002526,VFG002525
scaffold_374	1	VFG000079
scaffold_377	13	VFG002350,VFG002351,VFG002344,VFG002349,VFG002348,VFG000459,VFG000458,VFG002345,VFG002346,VFG002343,VFG002342,VFG002347,VFG013436
scaffold_378	1	VFG000232
scaffold_388	3	VFG001376,VFG001375,VFG001374
scaffold_394	1	VFG001443
scaffold_411	2	VFG001855,VFG001386
scaffold_446	1	VFG000077
scaffold_451	1	VFG010882
scaffold_458	3	VFG000330,VFG013315,VFG000142
scaffold_472	1	VFG001855
scaffold_484	1	VFG013286
scaffold_490	11	VFG000363,VFG000362,VFG000361,VFG000360,VFG000367,VFG000365,VFG000358,VFG000359,VFG000364,VFG000368,VFG000366
scaffold_510	1	VFG002190
scaffold_526	1	VFG013286
scaffold_527	1	VFG002480
scaffold_539	4	VFG002084,VFG002093,VFG002092,VFG007138
scaffold_542	2	VFG002162,VFG000077
scaffold_543	1	VFG013286
scaffold_545	1	VFG013412
scaffold_558	1	VFG034815
scaffold_579	1	VFG000080
scaffold_585	1	VFG000079
scaffold_586	1	VFG000964
scaffold_587	2	VFG000079,VFG001855
scaffold_606	1	VFG001826
scaffold_620	1	VFG006717
scaffold_634	1	VFG037100
scaffold_645	1	VFG001373
scaffold_646	1	VFG042390
scaffold_655	6	VFG002413,VFG002412,VFG002417,VFG002416,VFG002415,VFG002414
scaffold_657	3	VFG013248,VFG013242,VFG013236
