id	nhit	hits
scaffold_0	2	VFG002162,VFG000077
scaffold_1	3	VFG001915,VFG013286,VFG000390
scaffold_2	1	VFG001952
scaffold_3	2	VFG001855,VFG002084
scaffold_4	4	VFG006717,VFG002197,VFG001348,VFG037100
scaffold_5	1	VFG001967
scaffold_6	7	VFG000080,VFG001373,VFG001867,VFG002158,VFG001855,VFG002196,VFG043519
scaffold_7	2	VFG000959,VFG002162
scaffold_8	1	VFG037100
scaffold_9	2	VFG000077,VFG001369
scaffold_10	3	VFG002189,VFG001300,VFG002190
scaffold_11	1	VFG000080
scaffold_12	1	VFG000964
scaffold_14	2	VFG000964,VFG002165
scaffold_16	4	VFG001967,VFG002480,VFG005313,VFG013368
scaffold_17	1	VFG001855
scaffold_24	1	VFG000963
scaffold_26	1	VFG000079
scaffold_32	2	VFG000079,VFG001369
scaffold_33	1	VFG006717
scaffold_34	1	VFG000077
scaffold_38	1	VFG045340
scaffold_40	1	VFG000077
scaffold_43	1	VFG000077
scaffold_46	1	VFG002480
scaffold_47	1	VFG042870
scaffold_48	3	VFG001373,VFG001967,VFG000963
scaffold_49	1	VFG012002
scaffold_57	1	VFG013368
scaffold_65	1	VFG000077
scaffold_66	1	VFG000079
scaffold_67	1	VFG013286
scaffold_70	1	VFG013286
scaffold_72	1	VFG002162
scaffold_73	1	VFG037100
scaffold_74	3	VFG013286,VFG002182,VFG001338
scaffold_77	1	VFG002225
scaffold_82	1	VFG001855
scaffold_85	3	VFG013248,VFG013242,VFG013236
scaffold_86	1	VFG002182
scaffold_89	1	VFG000964
scaffold_94	1	VFG002377
scaffold_96	2	VFG017856(2)
scaffold_97	3	VFG042978,VFG042979,VFG042976
scaffold_104	1	VFG001855
scaffold_110	1	VFG002162
scaffold_114	1	VFG000079
scaffold_115	1	VFG017856
scaffold_117	1	VFG002162
scaffold_121	19	VFG002350,VFG002351,VFG002344,VFG002349,VFG000457,VFG002348,VFG000459,VFG000458,VFG002345,VFG002346,VFG002343,VFG002342,VFG002341,VFG002347,VFG013436,VFG000460,VFG000461,VFG000462,VFG004125
scaffold_131	1	VFG001855
scaffold_138	1	VFG013286
scaffold_141	1	VFG001855
scaffold_142	2	VFG001373,VFG000964
scaffold_144	3	VFG013384,VFG013374,VFG013390
scaffold_151	16	VFG043209,VFG043208,VFG002356,VFG002357,VFG043212,VFG043213,VFG002529,VFG043211,VFG043205,VFG043207,VFG043206,VFG002358,VFG002318,VFG002319,VFG002322,VFG043210
scaffold_153	2	VFG000963,VFG001348
scaffold_154	1	VFG000925
scaffold_174	1	VFG001855
scaffold_182	5	VFG002182(2),VFG002162,VFG013286,VFG000077
scaffold_190	1	VFG001300
scaffold_191	5	VFG001259,VFG001254,VFG001242,VFG013418,VFG001240
scaffold_193	1	VFG013286
scaffold_197	1	VFG000079
scaffold_199	2	VFG002364,VFG002225
scaffold_205	1	VFG001855
scaffold_207	4	VFG000873,VFG000878,VFG000876,VFG000911
scaffold_210	2	VFG000463,VFG001867
scaffold_217	1	VFG001249
scaffold_220	1	VFG001855
scaffold_223	2	VFG002050,VFG002048
scaffold_227	1	VFG017856
scaffold_232	33	VFG012362,VFG000828,VFG000820,VFG000743,VFG000823,VFG000824,VFG000825,VFG000826,VFG000827,VFG000802,VFG000800,VFG000801,VFG000806,VFG000807,VFG000804,VFG000805,VFG000808,VFG000809,VFG000797,VFG000794,VFG000795,VFG000739,VFG000811,VFG000810,VFG000813,VFG000812,VFG000833,VFG000814,VFG000817,VFG000816,VFG000819,VFG000818,VFG000830
scaffold_240	1	VFG013412
scaffold_262	2	VFG043209,VFG017856
scaffold_269	3	VFG002314,VFG002315,VFG002070
scaffold_271	2	VFG002376,VFG002377
scaffold_275	1	VFG043319
scaffold_289	1	VFG034866
scaffold_292	2	VFG006717,VFG000077
scaffold_298	1	VFG002162
scaffold_304	1	VFG036956
scaffold_305	1	VFG037100
scaffold_311	1	VFG000533
scaffold_312	2	VFG036956,VFG001249
scaffold_317	1	VFG000964
scaffold_332	1	VFG013346
scaffold_335	1	VFG000077
scaffold_341	4	VFG000963,VFG013368,VFG001301,VFG013346
scaffold_347	6	VFG000139,VFG000330,VFG013400,VFG000142,VFG000140,VFG000332
scaffold_350	1	VFG000121
scaffold_359	10	VFG000876(2),VFG000873,VFG000872,VFG000871,VFG000877,VFG000875,VFG000874,VFG000879,VFG000878
scaffold_372	1	VFG002162
scaffold_380	2	VFG001347,VFG002182
scaffold_381	1	VFG001443
scaffold_383	1	VFG000077
scaffold_388	1	VFG000845
scaffold_395	1	VFG013286
scaffold_402	2	VFG001300,VFG001369
scaffold_414	1	VFG001967
scaffold_419	3	VFG001376,VFG001375,VFG001374
scaffold_421	1	VFG000963
scaffold_429	1	VFG034815
scaffold_432	4	VFG034966,VFG035073,VFG002338,VFG002340
scaffold_437	2	VFG000903,VFG002121
scaffold_458	1	VFG000079
scaffold_459	2	VFG034873(2)
scaffold_467	5	VFG000362,VFG000361,VFG000360,VFG000358,VFG000359
scaffold_470	1	VFG034849
scaffold_476	5	VFG000446(2),VFG000448,VFG000447,VFG000445
scaffold_479	1	VFG002084
scaffold_484	1	VFG017856
scaffold_490	5	VFG000368,VFG000367,VFG000366,VFG000365,VFG000364
scaffold_521	3	VFG034754(3)
scaffold_533	1	VFG000077
scaffold_534	6	VFG002413,VFG002412,VFG002417,VFG002416,VFG002415,VFG002414
scaffold_535	1	VFG034895
scaffold_541	1	VFG045346
scaffold_546	1	VFG000963
scaffold_548	1	VFG002304
scaffold_560	4	VFG002363,VFG002362,VFG002365,VFG002364
scaffold_581	1	VFG001361
scaffold_588	2	VFG001444,VFG013368
scaffold_591	1	VFG001249
scaffold_594	1	VFG002162
scaffold_595	1	VFG001312
scaffold_600	1	VFG013465
scaffold_608	1	VFG000079
scaffold_611	7	VFG002336,VFG002335,VFG002332,VFG002330,VFG002331,VFG002329,VFG002328
scaffold_626	1	VFG013286
scaffold_627	3	VFG000140,VFG000142,VFG000139
scaffold_640	1	VFG000574
