id	nhit	hits
scaffold_0	2	126811,128314
scaffold_1	3	146204,19088,26639
scaffold_2	2	28437,139274
scaffold_5	3	14404,133155,14401
scaffold_6	1	126814
scaffold_11	2	128524,26737
scaffold_12	2	123889,15552
scaffold_13	1	126324
scaffold_15	1	133224
scaffold_20	1	139293
scaffold_25	8	133207,133212,133227,133223,133218,133219,133220,125231
scaffold_28	2	116541,139406
scaffold_30	2	135984,135985
scaffold_35	2	128524,145094
scaffold_36	1	126814
scaffold_37	1	115548
scaffold_39	2	132147,133224
scaffold_46	2	133224,14439
scaffold_47	3	27058,126811,14346
scaffold_51	1	139406
scaffold_53	1	126324
scaffold_56	2	134839,14401
scaffold_60	1	151354
scaffold_62	28	122242,122241,122240,122246,118199,122249,122248,150927,118155,122269,122261,122265,122264,122267,122266,24903,118163,122250,122251,118182,122235,31097,118214,122239,24872,141067,151226,19680
scaffold_64	2	123884,123889
scaffold_65	1	14439
scaffold_66	1	146204
scaffold_67	7	135984(2),135989,135985,135986,135987,135990
scaffold_73	1	126814
scaffold_78	1	13688
scaffold_80	1	122285
scaffold_82	12	24243,24312,24586,24594,24584,24591,24583,24592,24601,24562,24575,24590
scaffold_84	11	24489,24141,24111,24514,24530,24500,24522,24490,24493,24495,24139
scaffold_85	1	133224
scaffold_87	2	135502,115548
scaffold_88	4	135575,135530,135508,135509
scaffold_89	10	24156,154121,24178,24162,24668,24475,24470,24484,24468,24479
scaffold_90	2	14346,133224
scaffold_91	1	146304
scaffold_92	2	142485,114667
scaffold_101	1	135052
scaffold_104	2	128794,150498
scaffold_113	1	134337
scaffold_114	1	128757
scaffold_119	1	146204
scaffold_120	2	16086,16084
scaffold_122	1	135530
scaffold_124	1	110567
scaffold_125	5	17404,17129,132150,120669,17408
scaffold_130	1	19088
scaffold_139	2	139413,139411
scaffold_140	1	21954
scaffold_144	1	17248
scaffold_145	19	117711,24757,117709,19469,19476,24760,19466,19470,24779,24778,24768,24764,24783,24771,24763,24773,24772,24767,24777
scaffold_155	1	133224
scaffold_156	1	135574
scaffold_157	1	115878
scaffold_158	1	127413
scaffold_166	1	26528
scaffold_169	1	134770
scaffold_170	1	128524
scaffold_173	1	123892
scaffold_174	1	132167
scaffold_175	10	133781,15885,133766,117841,156660,141040,156666,156670,156673,156672
scaffold_179	1	151867
scaffold_181	6	133207,133212,133227,133223,133218,133219
scaffold_182	1	124071
scaffold_183	1	21991
scaffold_184	2	145550,138907
scaffold_186	1	139406
scaffold_188	1	126324
scaffold_189	1	110567
scaffold_190	1	14346
scaffold_198	2	126324,22031
scaffold_205	1	134821
scaffold_208	1	156845
scaffold_210	1	22425
scaffold_217	5	24616,24629,24615,24625,24237
scaffold_218	1	145094
scaffold_230	2	21259,158286
scaffold_234	4	141018,153901,154068,154067
scaffold_240	1	12594
scaffold_241	1	120647
scaffold_242	5	16958,137046,16954,16956,137106
scaffold_244	1	15726
scaffold_249	3	133212,133218,133219
scaffold_252	1	16116
scaffold_253	3	135574,21833,28306
scaffold_258	1	139955
scaffold_260	1	139411
scaffold_261	1	139357
scaffold_268	1	14401
scaffold_270	2	150275,149523
scaffold_275	2	123884,123889
scaffold_281	2	154632,120176
scaffold_291	3	146304,134296,134325
scaffold_292	1	144043
scaffold_296	1	27584
scaffold_304	10	15933,117422,139616,15937,19684,123231,117824,19576,19686,151226
scaffold_318	1	131247
scaffold_320	1	134927
scaffold_325	2	139473,17376
scaffold_327	1	134871
scaffold_332	1	120669
scaffold_333	7	121883,151298,119783,151296,15797,139595,151255
scaffold_335	1	110567
scaffold_336	1	129799
scaffold_338	2	131853,143054
scaffold_339	1	21954
scaffold_340	1	144275
scaffold_342	2	123171,21136
scaffold_350	1	112088
scaffold_363	1	110567
scaffold_364	3	17407,17408,17376
scaffold_370	6	24799,24797,24801,24807,151239,151254
scaffold_373	5	133771,133773,133772,133775,133774
scaffold_374	1	110567
scaffold_375	1	133224
scaffold_396	6	16991,24698,16989,16988,141063,16987
scaffold_398	1	139453
scaffold_399	1	124607
scaffold_403	1	132100
scaffold_407	1	157492
scaffold_413	2	133209,133220
scaffold_420	1	135790
scaffold_423	2	120958,120971
scaffold_429	1	139411
scaffold_430	2	120670,15925
scaffold_432	1	15710
scaffold_433	2	146204,126811
scaffold_437	1	135975
scaffold_461	1	14439
scaffold_465	10	137083,137082,137081,16932,16933,137078,137079,137076,137077,16936
scaffold_477	2	24443,24444
scaffold_479	1	139406
scaffold_481	1	133224
scaffold_487	1	117440
scaffold_489	3	24754,24752,117735
scaffold_492	2	19539,19538
scaffold_494	3	149774,117726,149777
scaffold_495	1	138438
scaffold_496	1	158440
scaffold_504	1	31119
scaffold_507	3	150541,24672,24673
scaffold_508	2	134631,134633
scaffold_512	4	15752,15822,121432,141034
scaffold_515	1	145451
scaffold_518	1	131784
scaffold_528	1	149487
scaffold_529	1	131238
scaffold_530	3	14309,15400,24220
scaffold_531	1	149414
scaffold_532	1	151337
scaffold_536	1	21818
scaffold_538	1	126811
scaffold_539	2	150339,131541
scaffold_541	1	16100
scaffold_547	3	16150,19644,25638
scaffold_550	1	133220
scaffold_552	1	133212
scaffold_554	1	152588
scaffold_555	1	154803
scaffold_558	1	133258
scaffold_566	2	133227,133207
scaffold_571	1	156845
scaffold_574	2	20023,136001
scaffold_577	2	15661,30148
scaffold_581	1	139073
scaffold_584	1	28721
scaffold_586	6	19558,15948,117373,19700,19649,15804
scaffold_588	1	19088
scaffold_592	1	27058
scaffold_594	1	22157
scaffold_596	1	151270
scaffold_598	1	24351
scaffold_599	2	123884,123889
scaffold_603	1	25116
scaffold_605	1	133212
scaffold_610	1	136922
scaffold_616	1	131928
scaffold_624	6	150906,24861,151466,149865,14253,14252
scaffold_627	7	24740,24742,148194,24744,24737,24732,24738
scaffold_634	1	145094
scaffold_635	1	151220
scaffold_637	1	133224
scaffold_638	1	117449
scaffold_640	1	15306
scaffold_644	1	123275
scaffold_649	1	25452
scaffold_656	1	130637
scaffold_657	1	15706
scaffold_660	1	133224
scaffold_662	5	19443,31084,15795,119724,150270
scaffold_665	3	112452,123870,127970
scaffold_674	4	141006,156097,154024,154025
scaffold_687	1	145094
scaffold_691	8	151286,19547,24713,24709,24704,24705,24707,24702
scaffold_693	4	137075,127990,154051,133754
scaffold_697	1	145336
scaffold_709	3	17578,133492,154803
scaffold_710	2	28990,29011
scaffold_718	1	11334
scaffold_720	1	154063
scaffold_725	1	147387
scaffold_735	7	19713,119774,19706,139573,19712,139568,19708
scaffold_740	1	149577
scaffold_743	2	133227,133207
scaffold_745	2	126324,21524
scaffold_749	1	133224
scaffold_750	1	147387
scaffold_757	1	139011
scaffold_758	1	24093
scaffold_774	2	116589,26164
scaffold_780	1	139293
scaffold_781	2	24707,19408
scaffold_782	1	149389
scaffold_786	2	30142,15337
scaffold_790	2	133212,133219
scaffold_791	2	19743,19738
scaffold_792	2	117783,150319
scaffold_794	1	21136
scaffold_806	4	135984,135985,135986,135987
scaffold_811	4	24649,24653,24184,24183
scaffold_821	1	144550
scaffold_826	1	131237
scaffold_833	1	20412
scaffold_834	1	135529
scaffold_841	4	16968,16970,16965,16966
scaffold_852	1	141131
scaffold_856	1	135530
scaffold_863	1	136582
scaffold_865	6	19492,24793,24792,24796,24795,19489
scaffold_876	1	16025
scaffold_884	2	17002,111796
scaffold_890	1	126324
scaffold_898	1	24560
scaffold_901	4	19558,25622,117382,24682
scaffold_902	1	30485
scaffold_920	1	17371
scaffold_925	1	17014
scaffold_930	3	17281,135975,135976
scaffold_935	4	24455,15746,158554,158555
scaffold_936	2	133223,133218
scaffold_942	1	13688
scaffold_943	2	131503,131504
scaffold_949	2	24586,24584
scaffold_952	1	150325
scaffold_958	1	21833
scaffold_978	2	156393,156398
scaffold_994	1	149678
scaffold_995	3	133223,133218,133219
scaffold_1008	2	15812,15814
scaffold_1014	3	15835,19645,19646
scaffold_1015	1	121923
scaffold_1016	1	22676
scaffold_1019	2	149414,21988
scaffold_1036	5	19681,125663,15937,119751,15932
scaffold_1040	3	16086,16084,16085
scaffold_1063	4	15795,15794,25678,151255
scaffold_1066	3	141146,120971,141148
scaffold_1072	1	139453
scaffold_1073	2	141013,141015
scaffold_1087	1	132153
scaffold_1092	1	123884
scaffold_1096	1	25605
scaffold_1101	2	24032,19369
scaffold_1102	2	15987,149772
scaffold_1106	1	149389
scaffold_1123	2	117680,117692
scaffold_1126	1	133223
scaffold_1127	1	126324
scaffold_1130	1	14222
scaffold_1133	1	132102
scaffold_1139	1	117439
scaffold_1142	1	134995
scaffold_1152	5	119749,139667,15937,139655,123224
scaffold_1163	2	15987,149772
scaffold_1183	1	137095
scaffold_1186	8	139629,24746,139612,24750,117735,15821,24722,24723
scaffold_1187	1	15710
scaffold_1189	2	141129,141128
scaffold_1195	2	137095,16971
scaffold_1197	1	15306
scaffold_1198	3	19673,139610,16131
scaffold_1201	1	154063
scaffold_1209	2	139589,19698
scaffold_1212	1	124607
scaffold_1216	1	124607
scaffold_1221	1	121930
scaffold_1239	2	24238,24617
scaffold_1240	1	27841
scaffold_1254	2	146204,128589
scaffold_1257	1	132102
scaffold_1260	1	132172
scaffold_1263	3	133780,133779,133766
scaffold_1268	1	139460
scaffold_1275	1	135536
scaffold_1277	1	123286
scaffold_1289	1	25878
scaffold_1296	8	125644,139571,139570,139573,139572,139574,139568,139569
scaffold_1309	1	148151
scaffold_1321	1	150470
scaffold_1333	2	133212,133219
scaffold_1338	3	117703,117687,117686
scaffold_1342	1	117686
scaffold_1359	1	146661
scaffold_1360	2	19859,17014
scaffold_1362	2	152547,152548
scaffold_1366	2	124220(2)
scaffold_1380	1	26567
scaffold_1386	2	146294,28376
scaffold_1397	1	132153
scaffold_1411	1	139640
scaffold_1415	2	151587,25946
scaffold_1416	2	24457,24032
scaffold_1418	1	152433
scaffold_1427	1	22415
scaffold_1428	3	139616,19673,19567
scaffold_1431	1	141056
scaffold_1438	2	15661,135614
scaffold_1454	1	24432
scaffold_1461	1	126995
scaffold_1470	2	135961,134291
scaffold_1473	1	28430
scaffold_1474	1	24702
scaffold_1486	2	24543,24688
scaffold_1490	1	149466
scaffold_1492	1	146298
scaffold_1496	1	123889
scaffold_1499	1	132683
scaffold_1500	2	24457,24032
scaffold_1507	2	133218,133219
scaffold_1509	1	15306
scaffold_1512	1	125231
scaffold_1521	1	126300
scaffold_1537	4	19423,24718,24716,24720
scaffold_1545	1	138270
scaffold_1550	3	17315,17317,17316
scaffold_1565	2	143732,135110
scaffold_1566	1	139575
scaffold_1583	2	141146,141148
scaffold_1596	1	134995
scaffold_1610	1	115878
scaffold_1617	1	17152
scaffold_1625	1	156169
scaffold_1632	1	134336
scaffold_1652	1	135968
scaffold_1660	2	20011,123241
scaffold_1665	1	154127
scaffold_1671	2	142506,142505
scaffold_1672	1	19536
scaffold_1673	5	135997,136013,136011,135993,136012
scaffold_1699	1	149804
scaffold_1703	1	17375
scaffold_1724	1	130031
scaffold_1734	1	133218
scaffold_1773	2	135621,135620
scaffold_1810	3	136006,133783,135992
scaffold_1818	1	156084
scaffold_1820	1	20011
scaffold_1830	1	135973
scaffold_1845	2	136017,136015
scaffold_1855	1	122976
scaffold_1865	1	133219
scaffold_1883	2	24457,24032
scaffold_1895	1	133223
scaffold_1903	1	24672
scaffold_1905	1	133155
scaffold_1909	1	127267
scaffold_1910	1	147391
scaffold_1927	3	148221,117798,157696
scaffold_1930	3	114276,121883,123188
scaffold_1931	2	19645,19646
scaffold_1932	1	155080
scaffold_1939	1	122884
scaffold_1946	2	133212,133219
scaffold_1962	3	15976,121883,19512
scaffold_1972	1	24560
scaffold_1982	2	149789,149791
scaffold_1983	1	133259
scaffold_1999	1	15306
scaffold_2006	1	120958
scaffold_2018	1	13217
scaffold_2020	1	129838
scaffold_2024	3	15939,15938,19584
scaffold_2025	1	19088
scaffold_2072	2	17258,135973
scaffold_2074	3	117434,19687,15938
scaffold_2112	3	136010,135999,136003
scaffold_2124	3	137076,136273,137078
scaffold_2128	1	151255
scaffold_2133	2	149772,149773
scaffold_2134	1	130264
scaffold_2154	1	133218
scaffold_2155	1	144085
scaffold_2163	1	22211
scaffold_2179	2	150903,150904
scaffold_2196	4	119757,15943,19689,119758
scaffold_2198	3	132173,129804,129805
scaffold_2199	1	123889
scaffold_2201	1	15992
scaffold_2203	2	24443,24444
scaffold_2204	1	145640
scaffold_2212	1	25669
scaffold_2221	2	19958,19961
scaffold_2224	1	142063
scaffold_2230	2	133778,133777
scaffold_2245	2	24727,158900
scaffold_2254	1	145698
scaffold_2265	1	120815
scaffold_2278	2	133219(2)
scaffold_2293	1	24391
scaffold_2315	1	123270
scaffold_2329	1	146615
scaffold_2333	1	24646
scaffold_2339	1	137427
scaffold_2347	1	17283
scaffold_2350	1	139575
scaffold_2351	3	151814,132138,17331
scaffold_2354	1	157666
scaffold_2364	3	151296,19402,121414
scaffold_2390	1	24723
scaffold_2408	1	132147
scaffold_2422	1	134844
scaffold_2430	1	128272
scaffold_2448	1	16136
scaffold_2472	1	139576
scaffold_2523	2	15933,15934
scaffold_2537	1	17376
scaffold_2547	1	149852
scaffold_2553	1	13217
